columna,conteo,min,25%,moda,media,75%,max,std,var,asimetria,kurtosis
acft_year,26123,0.0,1969.5,1980.0,1982.6046970102975,2001.0,2025.0,30.148489621704755,908.9314264700394,-32.75235967926169,2008.657539751344
inj_tot_t,26123,0.0,1.0,2.0,5.847873521417908,2.0,576.0,27.219923253492954,740.9242219260465,8.451118609001423,84.43497128508129
inj_total,26123,0.0,1.0,2.0,6.253072005512384,3.0,576.0,27.319762151429902,746.3694040107017,8.511086720868349,86.15871199731731
latitude,26123,-534640.0,40731.5,331515.0,259828.3913409639,402220.5,7302524.0,212522.54903976878,45165833850.36092,4.275475373939715,119.94970473016213
longitude,26123,-1784034.0,-984014.0,-812613.0,-608114.7758297286,-102127.0,59652314.0,1380046.0378800852,1904527066668.5215,36.64484664100592,1556.6973125179177
num_eng,26123,0.0,1.0,1.0,1.131990965815565,1.0,8.0,0.4208557874610366,0.1771195938394492,2.9159660573747717,21.131686857395817
total_seats,26123,0.0,2.0,4.0,9.929697967308503,4.0,8300.0,67.64417460683894,4575.734358240515,78.62566031575409,8950.298663138205
vis_sm,26123,0.0,10.0,10.0,11.557317306566487,10.0,9999.0,114.89535206940485,13200.941927152493,80.85208023567027,6780.487456013861
wind_vel_kts,26123,0.0,6.0,7.0,7.680817670252268,9.0,170.0,4.127966182236792,17.040104801690596,6.7490752760665655,160.089968149052
wx_temp,26123,-80.0,46.0,66.0,58.56031083719328,79.0,3006.0,33.80834230070014,1143.0040091213107,24.858647921805563,2210.675394494517
