ev_country,inj_count,inj_sum,inj_mean
AF,6,124,20.666666666666668
AG,3,485,161.66666666666666
AO,2,25,12.5
AQ,3,189,63.0
AR,56,1549,27.660714285714285
AS,150,1364,9.093333333333334
AU,37,280,7.5675675675675675
AV,1,0,0.0
AY,1,0,0.0
BB,1,143,143.0
BC,2,26,13.0
BD,2,9,4.5
BE,12,201,16.75
BF,59,349,5.915254237288136
BG,3,2,0.6666666666666666
BH,5,16,3.2
BK,1,2,2.0
BL,11,270,24.545454545454547
BM,2,388,194.0
BO,2,10,5.0
BP,1,3,3.0
BR,290,1795,6.189655172413793
BS,1,1,1.0
BU,1,2,2.0
CA,88,990,11.25
CD,1,0,0.0
CE,2,2,1.0
CF,10,84,8.4
CH,13,705,54.23076923076923
CI,36,264,7.333333333333333
CJ,3,134,44.666666666666664
CM,1,1,1.0
CN,2,155,77.5
CO,102,1953,19.147058823529413
CQ,1,3,3.0
CS,10,168,16.8
CU,4,649,162.25
DA,9,217,24.11111111111111
DO,4,17,4.25
DR,20,247,12.35
EC,33,171,5.181818181818182
EG,6,415,69.16666666666667
EI,24,364,15.166666666666666
EN,2,8,4.0
ES,9,215,23.88888888888889
ET,2,1,0.5
EZ,6,8,1.3333333333333333
FG,3,8,2.6666666666666665
FI,6,50,8.333333333333334
FJ,1,4,4.0
FM,3,78,26.0
FR,93,1159,12.46236559139785
GB,7,137,19.571428571428573
GE,49,889,18.142857142857142
GG,1,3,3.0
GH,2,6,3.0
GL,2,3,1.5
GP,5,10,2.0
GR,7,235,33.57142857142857
GT,28,85,3.0357142857142856
GY,7,34,4.857142857142857
HA,4,17,4.25
HK,5,242,48.4
HO,8,164,20.5
HR,4,206,51.5
HU,11,208,18.90909090909091
IC,10,245,24.5
ID,25,1437,57.48
IM,1,2,2.0
IN,21,420,20.0
IR,1,182,182.0
IS,6,18,3.0
IT,56,181,3.232142857142857
IV,1,254,254.0
IZ,3,23,7.666666666666667
JA,30,2744,91.46666666666667
JM,8,355,44.375
JO,3,217,72.33333333333333
KE,17,47,2.764705882352941
KG,2,253,126.5
KR,2,4,2.0
KS,6,12,2.0
KZ,5,6,1.2
LE,1,93,93.0
LG,4,104,26.0
LH,2,6,3.0
LI,1,76,76.0
LO,1,2,2.0
MA,4,0,0.0
MK,1,7,7.0
ML,1,0,0.0
MO,2,5,2.5
MS,1,4,4.0
MT,1,0,0.0
MV,1,0,0.0
MX,123,1487,12.089430894308943
MY,10,217,21.7
MZ,1,0,0.0
NG,2,68,34.0
NH,1,4,4.0
NI,14,304,21.714285714285715
NL,13,102,7.846153846153846
NO,13,210,16.153846153846153
NP,1,28,28.0
NT,4,20,5.0
NU,4,128,32.0
NZ,15,316,21.066666666666666
PA,8,27,3.375
PE,36,417,11.583333333333334
PF,1,0,0.0
PK,11,568,51.63636363636363
PL,16,234,14.625
PM,7,33,4.714285714285714
PO,9,28,3.111111111111111
PP,6,33,5.5
PW,1,4,4.0
QA,4,10,2.5
RE,2,7,3.5
RO,8,92,11.5
RP,7,574,82.0
RS,39,182,4.666666666666667
RW,1,0,0.0
SA,6,167,27.833333333333332
SB,1,0,0.0
SC,2,28,14.0
SF,70,652,9.314285714285715
SG,3,350,116.66666666666667
SI,4,11,2.75
SN,4,218,54.5
SO,3,284,94.66666666666667
SP,39,737,18.897435897435898
SR,1,0,0.0
ST,1,280,280.0
SU,4,21,5.25
SW,22,76,3.4545454545454546
SZ,33,109,3.303030303030303
TC,14,1118,79.85714285714286
TD,1,2,2.0
TH,9,667,74.11111111111111
TK,4,25,6.25
TP,1,2,2.0
TS,1,2,2.0
TU,13,53,4.076923076923077
TW,2,13,6.5
TZ,6,22,3.6666666666666665
UG,1,1,1.0
UK,76,855,11.25
UN,8,247,30.875
UP,3,10,3.3333333333333335
USA,23844,127208,5.335010904210703
UY,9,27,3.0
VE,58,742,12.793103448275861
VG,4,12,3.0
WA,8,62,7.75
WF,1,0,0.0
YM,1,0,0.0
ZA,3,1,0.3333333333333333
ZI,3,15,5.0
